data,method,aggregator,metric,P,R,F1,H,J,KLD,C
arxiv_pubmed,SumyLexRank,Avg,SKLearn,,,,,,,0.57
arxiv_pubmed,SumyTextRank,Avg,rouge-1,27.32,54.34,36.36,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-2,9.07,17.57,11.96,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-3,3.64,3.79,3.7,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-4,2.24,2.33,2.27,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-l,14.52,29.41,19.44,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-su4,12.01,23.71,15.95,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-w,13.28,5.7,7.93,,,,
arxiv_pubmed,SumyTextRank,Avg,NLTK,27.04,43.47,27.04,,,,
arxiv_pubmed,SumyTextRank,Avg,SKLearn,,,,,,,0.58
arxiv_pubmed,SumySumBasic,Avg,rouge-1,45.01,33.65,38.51,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-2,12.47,9.23,10.61,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-3,3.03,2.94,2.95,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-4,1.73,1.7,1.7,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-l,24.04,17.73,20.4,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-su4,17.91,13.15,15.17,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-w,13.21,5.02,7.16,,,,
arxiv_pubmed,SumySumBasic,Avg,NLTK,38.18,32.34,38.18,,,,
arxiv_pubmed,SumySumBasic,Avg,SKLearn,,,,,,,0.46
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-1,36.53,35.84,36.18,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-2,11.22,10.95,11.09,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-3,6.86,7.6,7.18,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-4,4.68,5.17,4.89,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-l,19.2,19.14,19.17,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,14.58,14.19,14.38,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-w,15.48,7.09,9.66,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,NLTK,29.9,34.86,29.9,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.51
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-1,22.24,23.78,22.98,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-2,4.45,4.97,4.69,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-3,2.8,3.09,2.92,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-4,1.65,1.81,1.72,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-l,15.32,16.61,15.94,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-su4,7.46,8.09,7.76,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-w,12.09,5.6,7.59,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,NLTK,39.7,16.93,39.7,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.32
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,29.76,24.53,26.89,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,4.66,3.86,4.22,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,1.38,1.52,1.44,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,0.55,0.61,0.57,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,15.64,12.99,14.19,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,9.31,7.6,8.37,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,10.31,4.71,6.42,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,22.65,25.04,22.65,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.42
arxiv_pubmed,SumyEdmundson,Avg,rouge-1,35.64,45.59,40.01,,,,
arxiv_pubmed,SumyEdmundson,Avg,rouge-2,10.91,13.78,12.18,,,,
arxiv_pubmed,SumyEdmundson,Avg,rouge-3,4.43,4.56,4.47,,,,
arxiv_pubmed,SumyEdmundson,Avg,rouge-4,2.86,2.94,2.89,,,,
arxiv_pubmed,SumyEdmundson,Avg,rouge-l,18.72,24.24,21.13,,,,
arxiv_pubmed,SumyEdmundson,Avg,rouge-su4,14.82,18.86,16.6,,,,
arxiv_pubmed,SumyEdmundson,Avg,rouge-w,13.75,5.84,8.14,,,,
arxiv_pubmed,SumyEdmundson,Avg,NLTK,32.24,37.85,33.46,,,,
arxiv_pubmed,SumyEdmundson,Avg,SKLearn,,,,,,,0.51
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.26,0.83,0.26,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.41,0.89,0.74,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.27,0.87,0.29,
arxiv_pubmed,SumyRandom,Avg,Gensim,,,,0.26,0.81,0.26,
arxiv_pubmed,SumyLuhn,Avg,Gensim,,,,0.34,0.82,0.27,
arxiv_pubmed,SumyLsa,Avg,Gensim,,,,0.26,0.82,0.25,
arxiv_pubmed,SumyLexRank,Avg,Gensim,,,,0.27,0.79,0.24,
arxiv_pubmed,SumyTextRank,Avg,Gensim,,,,0.33,0.82,0.27,
arxiv_pubmed,SumySumBasic,Avg,Gensim,,,,0.25,0.8,0.23,
arxiv_pubmed,SumyKL,Avg,Gensim,,,,0.26,0.81,0.25,
arxiv_pubmed,SumyReduction,Avg,Gensim,,,,0.33,0.82,0.29,
arxiv_pubmed,SumyEdmundson,Avg,Gensim,,,, 0.28, 0.80, 0.27,
